Country,Year,Incomegroup,Source,Gini
Argentina,1961,Upper middle income,Cromwell 1977,42.3
Argentina,1961,Upper middle income,Lecaillon et al. 1984,47.8
Argentina,1961,Upper middle income,Jain 1975,43.8
Argentina,1963,Upper middle income,Altimir 1986,37.3
Argentina,1963,Upper middle income,Altimir 1986,35.8
Argentina,1963,Upper middle income,Jain 1975,38.5
Argentina,1965,Upper middle income,Altimir 1986,35.3
Argentina,1969,Upper middle income,Altimir 1986,37.3
Argentina,1970,Upper middle income,Jain 1975,41.1
Argentina,1970,Upper middle income,Altimir 1986,36.1
Argentina,1972,Upper middle income,Altimir 1986,33.4
Argentina,1972,Upper middle income,Altimir 1986,35.3
Argentina,1974,Upper middle income,Altimir 1986,36
Argentina,1974,Upper middle income,Fishlow et al. 1993,34.4
Argentina,1974,Upper middle income,"SEDLAC,32
Argentina,1975,Upper middle income,Fishlow et al. 1993,34.7
Argentina,1975,Upper middle income,Altimir 1986,36.1
Argentina,1976,Upper middle income,Fishlow et al. 1993,35.2
Argentina,1977,Upper middle income,Fishlow et al. 1993,40.3
Argentina,1978,Upper middle income,Fishlow et al. 1993,43.4
Argentina,1979,Upper middle income,Fishlow et al. 1993,41.3
Argentina,1980,Upper middle income,Psacharopoulos et al. 1997,40.8
Argentina,1980,Upper middle income,"SEDLAC,38
Argentina,1980,Upper middle income,Fishlow et al. 1993,40.5
Argentina,1980,Upper middle income,Altimir 1986,41.6
Argentina,1981,Upper middle income,Fishlow et al. 1993,42.8
Argentina,1981,Upper middle income,Altimir 1986,42.7
Argentina,1982,Upper middle income,Fishlow et al. 1993,40.2
Argentina,1983,Upper middle income,Fishlow et al. 1993,40.4
Argentina,1985,Upper middle income,Fishlow et al. 1993,39.8
Argentina,1986,Upper middle income,"SEDLAC,41
Argentina,1987,Upper middle income,Fishlow et al. 1993,43.3
Argentina,1988,Upper middle income,Fishlow et al. 1993,45.2
Argentina,1988,Upper middle income,"SEDLAC,44
Argentina,1989,Upper middle income,Psacharopoulos et al. 1997,47.6
Argentina,1990,Upper middle income,Cerisola et al 2000,43.1
Argentina,1991,Upper middle income,Cerisola et al 2000,44.1
Argentina,1991,Upper middle income,"SEDLAC,44
Argentina,1992,Upper middle income,"SEDLAC,42
Argentina,1992,Upper middle income,"SEDLAC,43
Argentina,1992,Upper middle income,Cerisola et al 2000,43.6
Argentina,1993,Upper middle income,"SEDLAC,
Argentina,1993,Upper middle income,"SEDLAC,42
Argentina,1994,Upper middle income,"SEDLAC,43
Argentina,1994,Upper middle income,"SEDLAC,
Argentina,1994,Upper middle income,Cerisola et al 2000,43.8
Argentina,1995,Upper middle income,"SEDLAC,46
Argentina,1995,Upper middle income,"SEDLAC,
Argentina,1995,Upper middle income,Cerisola et al 2000,46.3
Argentina,1996,Upper middle income,"SEDLAC,46
Argentina,1996,Upper middle income,"SEDLAC,
Argentina,1996,Upper middle income,Cerisola et al 2000,45.8
Argentina,1996,Upper middle income,Szekely 2003,47.7
Argentina,1997,Upper middle income,Cerisola et al 2000,44.8
Argentina,1997,Upper middle income,"SEDLAC,
Argentina,1997,Upper middle income,"SEDLAC,46
Argentina,1998,Upper middle income,"SEDLAC,48
Argentina,1998,Upper middle income,"SEDLAC,
Argentina,1998,Upper middle income,Szekely 2003,49.4
Argentina,1998,Upper middle income,"SEDLAC,48
Argentina,1998,Upper middle income,"SEDLAC,
Argentina,1998,Upper middle income,Cerisola et al 2000,46.7
Argentina,1999,Upper middle income,"SEDLAC,47
Argentina,1999,Upper middle income,"SEDLAC,
Argentina,2000,Upper middle income,"SEDLAC,
Argentina,2000,Upper middle income,"SEDLAC,48
Argentina,2001,Upper middle income,"SEDLAC,
Argentina,2001,Upper middle income,"SEDLAC,50
Argentina,2002,Upper middle income,"SEDLAC,51
Argentina,2002,Upper middle income,"SEDLAC,
Argentina,2003,Upper middle income,"SEDLAC,
Argentina,2003,Upper middle income,"SEDLAC,50
Argentina,2003,Upper middle income,"SEDLAC,52
Argentina,2003,Upper middle income,"SEDLAC,51
Argentina,2003,Upper middle income,"SEDLAC,
Argentina,2003,Upper middle income,"SEDLAC,51
Argentina,2004,Upper middle income,"SEDLAC,
Argentina,2004,Upper middle income,"SEDLAC,47
Argentina,2004,Upper middle income,"SEDLAC,
Argentina,2004,Upper middle income,"SEDLAC,48
Argentina,2005,Upper middle income,"SEDLAC,47
Argentina,2005,Upper middle income,"SEDLAC,
Argentina,2005,Upper middle income,"SEDLAC,47
Argentina,2005,Upper middle income,"SEDLAC,
Argentina,2006,Upper middle income,"SEDLAC,46
Argentina,2006,Upper middle income,"SEDLAC,
Argentina,2006,Upper middle income,"SEDLAC,45
Argentina,2006,Upper middle income,"SEDLAC,
Argentina,2007,Upper middle income,"SEDLAC,
Argentina,2007,Upper middle income,"SEDLAC,
Argentina,2007,Upper middle income,"SEDLAC,45
Argentina,2007,Upper middle income,"SEDLAC,45
Argentina,2008,Upper middle income,"SEDLAC,44
Argentina,2008,Upper middle income,"SEDLAC,
Argentina,2008,Upper middle income,"SEDLAC,
Argentina,2008,Upper middle income,"SEDLAC,44
Argentina,2009,Upper middle income,"SEDLAC,43
Argentina,2009,Upper middle income,CEQ project,48.9
Argentina,2009,Upper middle income,CEQ project,44.7
Argentina,2009,Upper middle income,"SEDLAC,43
Argentina,2010,Upper middle income,"SEDLAC,42
Argentina,2010,Upper middle income,"SEDLAC,42
Argentina,2011,Upper middle income,"SEDLAC,41
Armenia,1986,Lower middle income,Atkinson and Micklewright 1992,26.9
Armenia,1988,Lower middle income,Alexeev and Gaddy 1993,28
Armenia,1989,Lower middle income,Atkinson and Micklewright 1992,25.9
Armenia,1989,Lower middle income,Atkinson and Micklewright 1992,25.8
Armenia,1990,Lower middle income,Alexeev and Gaddy 1993,26.9
Armenia,1991,Lower middle income,Transmonee 2004,29.6
Armenia,1992,Lower middle income,Transmonee 2004,35.5
Armenia,1993,Lower middle income,Transmonee 2004,36.6
Armenia,1994,Lower middle income,Transmonee 2004,32.1
Armenia,1995,Lower middle income,Transmonee 2004,38.1
Armenia,1996,Lower middle income,"Deininger & Squire,48.2
Armenia,1996,Lower middle income,"World Bank Poverty during the Transition website 9/2000,45.7
Armenia,1996,Lower middle income,"World Bank Poverty during the Transition website 9/2000,66
Armenia,1996,Lower middle income,Transmonee 2004,42
Armenia,1996,Lower middle income,"Deininger & Squire,61.3
Armenia,1998,Lower middle income,"Deininger & Squire,36.5
Armenia,1998,Lower middle income,"Deininger & Squire,55.5
Armenia,1999,Lower middle income,WDI,36
Armenia,2000,Lower middle income,Transmonee 2004,48.6
Armenia,2001,Lower middle income,WDI,36.2
Armenia,2002,Lower middle income,Transmonee 2004,35.9
Armenia,2003,Lower middle income,Transmonee 2005,48.4
Armenia,2003,Lower middle income,Transmonee 2005,54.3
Armenia,2004,Lower middle income,Transmonee 2007,45.5
Armenia,2005,Lower middle income,Transmonee 2007,43.4
Armenia,2006,Lower middle income,Transmonee 2008,40
Armenia,2007,Lower middle income,Statistical Yearbook of Armenia,
Armenia,2007,Lower middle income,Statistical Yearbook of Armenia,30.2
Armenia,2008,Lower middle income,Statistical Yearbook of Armenia,
Armenia,2008,Lower middle income,Statistical Yearbook of Armenia,33.9
Armenia,2009,Lower middle income,Statistical Yearbook of Armenia,
Armenia,2009,Lower middle income,Statistical Yearbook of Armenia,35.5
Armenia,2010,Lower middle income,Statistical Yearbook of Armenia,36.2
Armenia,2010,Lower middle income,Statistical Yearbook of Armenia,
Armenia,2011,Lower middle income,Statistical Yearbook of Armenia,
Armenia,2011,Lower middle income,Statistical Yearbook of Armenia,37.1
Australia,1942,High income: OECD,Leigh 2005,34.8
Australia,1942,High income: OECD,Leigh 2005,23.5
Australia,1943,High income: OECD,Leigh 2005,34.9
Australia,1944,High income: OECD,Leigh 2005,23.1
Australia,1944,High income: OECD,Leigh 2005,34.1
Australia,1945,High income: OECD,Leigh 2005,23.7
Australia,1945,High income: OECD,Leigh 2005,34.4
Australia,1946,High income: OECD,Leigh 2005,33.6
Australia,1946,High income: OECD,Leigh 2005,23.6
Australia,1947,High income: OECD,Leigh 2005,26.2
Australia,1947,High income: OECD,Leigh 2005,35.5
Australia,1948,High income: OECD,Leigh 2005,35.8
Australia,1948,High income: OECD,Leigh 2005,26.5
Australia,1949,High income: OECD,Leigh 2005,27.2
Australia,1949,High income: OECD,Leigh 2005,36.4
Australia,1950,High income: OECD,Leigh 2005,30.3
Australia,1950,High income: OECD,Leigh 2005,42.7
Australia,1951,High income: OECD,Leigh 2005,34.8
Australia,1951,High income: OECD,Leigh 2005,22.7
Australia,1952,High income: OECD,Leigh 2005,23.5
Australia,1952,High income: OECD,Leigh 2005,34.1
Australia,1953,High income: OECD,Leigh 2005,32
Australia,1953,High income: OECD,Leigh 2005,23
Australia,1954,High income: OECD,Leigh 2005,32
Australia,1954,High income: OECD,Leigh 2005,23.5
Australia,1955,High income: OECD,Leigh 2005,32.7
Australia,1955,High income: OECD,Leigh 2005,23.6
Australia,1956,High income: OECD,Leigh 2005,31.5
Australia,1956,High income: OECD,Leigh 2005,24
Australia,1957,High income: OECD,Leigh 2005,30.4
Australia,1957,High income: OECD,Leigh 2005,23.4
Australia,1958,High income: OECD,Leigh 2005,30.8
Australia,1958,High income: OECD,Leigh 2005,24.3
Australia,1959,High income: OECD,Leigh 2005,24.7
Australia,1959,High income: OECD,Leigh 2005,30.9
Australia,1960,High income: OECD,Leigh 2005,24.7
Australia,1960,High income: OECD,Leigh 2005,30.9
Australia,1961,High income: OECD,Leigh 2005,30.9
Australia,1961,High income: OECD,Leigh 2005,24.9
Australia,1962,High income: OECD,Leigh 2005,31.5
Australia,1962,High income: OECD,Leigh 2005,25.2
Australia,1962,High income: OECD,Cromwell 1977,41.6
Australia,1963,High income: OECD,Leigh 2005,31.2
Australia,1963,High income: OECD,Leigh 2005,24.9
Australia,1964,High income: OECD,Leigh 2005,24.1
Australia,1964,High income: OECD,Leigh 2005,30.5
Australia,1965,High income: OECD,Leigh 2005,24.2
Australia,1965,High income: OECD,Leigh 2005,30.3
Australia,1966,High income: OECD,Leigh 2005,24.5
Australia,1966,High income: OECD,Leigh 2005,30.7
Australia,1967,High income: OECD,Sawyer 1976,31.2
Australia,1967,High income: OECD,Leigh 2005,30.8
Australia,1967,High income: OECD,Paukert 1973,32
Australia,1967,High income: OECD,Leigh 2005,24.7
Australia,1968,High income: OECD,Leigh 2005,30.9
Australia,1968,High income: OECD,Podder 1972,31.7
Australia,1968,High income: OECD,Podder 1972,33.5
Australia,1968,High income: OECD,Podder 1972,33.2
Australia,1968,High income: OECD,Leigh 2005,24.7
Australia,1969,High income: OECD,Statistical Yearbook,32
Australia,1969,High income: OECD,Leigh 2005,31.2
Australia,1969,High income: OECD,Leigh 2005,24.8
Australia,1970,High income: OECD,Leigh 2005,31
Australia,1970,High income: OECD,Leigh 2005,25
Australia,1971,High income: OECD,Leigh 2005,30.8
Australia,1971,High income: OECD,Leigh 2005,24.9
Australia,1972,High income: OECD,Leigh 2005,22.5
Australia,1972,High income: OECD,Leigh 2005,28.2
Australia,1973,High income: OECD,Leigh 2005,22.9
Australia,1973,High income: OECD,Leigh 2005,29.1
Australia,1974,High income: OECD,Leigh 2005,29.3
Australia,1974,High income: OECD,Leigh 2005,20.9
Australia,1975,High income: OECD,Leigh 2005,26.6
Australia,1975,High income: OECD,Leigh 2005,18.1
Australia,1976,High income: OECD,Kakwani 1986,33
Australia,1976,High income: OECD,Kakwani 1986,34.5
Australia,1976,High income: OECD,Leigh 2005,27
Australia,1976,High income: OECD,Leigh 2005,18.7
Australia,1976,High income: OECD,Statistical Yearbook,34.3
Australia,1977,High income: OECD,Leigh 2005,27.1
Australia,1977,High income: OECD,Leigh 2005,19.4
Australia,1978,High income: OECD,Statistical Yearbook,38.1
Australia,1978,High income: OECD,Leigh 2005,26.1
Australia,1978,High income: OECD,Leigh 2005,18
Australia,1979,High income: OECD,Statistical Yearbook,39.3
Australia,1979,High income: OECD,Leigh 2005,26.7
Australia,1979,High income: OECD,Leigh 2005,19
Australia,1980,High income: OECD,Leigh 2005,27.8
Australia,1980,High income: OECD,Leigh 2005,20.1
Australia,1981,High income: OECD,"Atkinson,32.3
Australia,1981,High income: OECD,Leigh 2005,28
Australia,1981,High income: OECD,Leigh 2005,20.4
Australia,1981,High income: OECD,"Saunders,40
Australia,1981,High income: OECD,Luxembourg Income Study,31
Australia,1982,High income: OECD,Leigh 2005,20.7
Australia,1982,High income: OECD,Leigh 2005,28.3
Australia,1983,High income: OECD,Leigh 2005,28.9
Australia,1983,High income: OECD,Leigh 2005,21.3
Australia,1984,High income: OECD,Leigh 2005,20.7
Australia,1984,High income: OECD,Leigh 2005,29.5
Australia,1985,High income: OECD,Leigh 2005,30.2
Australia,1985,High income: OECD,Leigh 2005,20.7
Australia,1985,High income: OECD,Luxembourg Income Study,32.5
Australia,1986,High income: OECD,Leigh 2005,30.9
Australia,1986,High income: OECD,"Atkinson,32.2
Australia,1986,High income: OECD,Saunders 2001,36.4
Australia,1986,High income: OECD,Saunders 2001,35.2
Australia,1986,High income: OECD,Saunders 2001,53.2
Australia,1986,High income: OECD,"Saunders,42
Australia,1986,High income: OECD,Leigh 2005,21.1
Australia,1987,High income: OECD,Leigh 2005,32.5
Australia,1987,High income: OECD,Leigh 2005,23.4
Australia,1988,High income: OECD,Leigh 2005,26.3
Australia,1988,High income: OECD,Leigh 2005,34.9
Australia,1989,High income: OECD,Luxembourg Income Study,33.5
Australia,1989,High income: OECD,Leigh 2005,33.6
Australia,1989,High income: OECD,Leigh 2005,24.2
Australia,1989,High income: OECD,Luxembourg Income Study,33.3
Australia,1990,High income: OECD,Saunders 2001,37.5
Australia,1990,High income: OECD,Saunders 2001,33
Australia,1990,High income: OECD,Saunders 2001,54.3
Australia,1990,High income: OECD,Smeeding and Gottschalk 1995,43.7
Australia,1990,High income: OECD,Saunders 2001,42.7
Australia,1990,High income: OECD,Leigh 2005,33.8
Australia,1990,High income: OECD,Leigh 2005,25.4
Australia,1990,High income: OECD,Smeeding and Gottschalk 1995,30.9
Australia,1991,High income: OECD,Leigh 2005,34.2
Australia,1991,High income: OECD,Leigh 2005,25.9
Australia,1992,High income: OECD,Leigh 2005,26.5
Australia,1992,High income: OECD,Leigh 2005,34.8
Australia,1993,High income: OECD,Leigh 2005,26.7
Australia,1993,High income: OECD,Leigh 2005,35
Australia,1994,High income: OECD,Leigh 2005,35.3
Australia,1994,High income: OECD,Leigh 2005,25.5
Australia,1995,High income: OECD,Australian Bureau of Statistics 1999,44.3
Australia,1995,High income: OECD,Leigh 2005,35.9
Australia,1995,High income: OECD,Saunders 2001,43.6
Australia,1995,High income: OECD,Saunders 2001,57
Australia,1995,High income: OECD,Leigh 2005,28.3
Australia,1995,High income: OECD,OECD StatExtract,46.7
Australia,1995,High income: OECD,OECD StatExtract,30.9
Australia,1995,High income: OECD,Australian Bureau of Statistics 2003,30.2
Australia,1995,High income: OECD,Saunders 2001,38.5
Australia,1995,High income: OECD,Saunders 2001,33.8
Australia,1996,High income: OECD,Leigh 2005,36.5
Australia,1996,High income: OECD,Australian Bureau of Statistics 1999,44.4
Australia,1996,High income: OECD,Australian Bureau of Statistics 2003,29.6
Australia,1996,High income: OECD,Leigh 2005,28.8
Australia,1997,High income: OECD,Australian Bureau of Statistics 1999,43.7
Australia,1997,High income: OECD,Leigh 2005,29.2
Australia,1997,High income: OECD,Leigh 2005,37
Australia,1997,High income: OECD,Australian Bureau of Statistics 2003,29.2
Australia,1998,High income: OECD,Australian Bureau of Statistics 2003,30.3
Australia,1998,High income: OECD,Saunders 2001,39
Australia,1998,High income: OECD,Saunders 2001,34.3
Australia,1998,High income: OECD,Leigh 2005,30.4
Australia,1998,High income: OECD,Leigh 2005,37.6
Australia,1998,High income: OECD,Saunders 2001,58.2
Australia,1998,High income: OECD,Australian Bureau of Statistics 2001,44.6
Australia,1999,High income: OECD,Leigh 2005,38.1
Australia,1999,High income: OECD,Leigh 2005,28.2
Australia,2000,High income: OECD,OECD StatExtract,31.7
Australia,2000,High income: OECD,OECD StatExtract,47.6
Australia,2000,High income: OECD,Leigh 2005,38.3
Australia,2000,High income: OECD,Leigh 2005,27.9
Australia,2000,High income: OECD,Australian Bureau of Statistics 2003,31
Australia,2000,High income: OECD,Australian Bureau of Statistics 2001,44.8
Australia,2001,High income: OECD,Leigh 2005,27.5
Australia,2001,High income: OECD,Australian Bureau of Statistics 2003,31.1
Australia,2001,High income: OECD,Leigh 2005,37.8
Australia,2002,High income: OECD,Australian Bureau of Statistics 2005,30.9
Australia,2003,High income: OECD,Luxembourg Income Study,31.2
Australia,2004,High income: OECD,OECD StatExtract,31.5
Australia,2004,High income: OECD,OECD StatExtract,46.5
Australia,2004,High income: OECD,Australian Bureau of Statistics 2005,29.4
Australia,2008,High income: OECD,Australian Bureau of Statistics,31.4
Australia,2008,High income: OECD,OECD StatExtract,33.6
Australia,2008,High income: OECD,OECD StatExtract,46.8
Australia,2010,High income: OECD,OECD StatExtract,33.4
Australia,2010,High income: OECD,OECD StatExtract,46.9
Australia,2010,High income: OECD,Australian Bureau of Statistics,28.3
Australia,2011,High income: OECD,Australian Bureau of Statistics,28.3
Austria,1970,High income: OECD,Guger 1989,29.3
Austria,1972,High income: OECD,Gusenleitner et al 1996,26.7
Austria,1976,High income: OECD,Guger 1989,31.2
Austria,1977,High income: OECD,Gusenleitner et al 1996,24.3
Austria,1981,High income: OECD,Guger 1989,31.4
Austria,1983,High income: OECD,Guger 1989,28
Austria,1983,High income: OECD,Guger 1989,34
Austria,1987,High income: OECD,Guger 1989,31.6
Austria,1987,High income: OECD,Luxembourg Income Study,22.5
Austria,1991,High income: OECD,Gusenleitner et al 1996,26.3
Austria,1994,High income: OECD,Luxembourg Income Study,31.4
Austria,1995,High income: OECD,European Commission 2005,27
Austria,1995,High income: OECD,Luxembourg Income Study,31.1
Austria,1996,High income: OECD,European Commission 2005,26
Austria,1997,High income: OECD,Luxembourg Income Study,30.4
Austria,1997,High income: OECD,European Commission 2005,25
Austria,1998,High income: OECD,European Commission 2005,24
Austria,1999,High income: OECD,European Commission 2005,26
Austria,2000,High income: OECD,European Commission 2005,24
Austria,2000,High income: OECD,Luxembourg Income Study,29.3
Austria,2000,High income: OECD,Eurostat,24
Austria,2001,High income: OECD,European Commission 2005,24
Austria,2001,High income: OECD,Eurostat,24
Austria,2003,High income: OECD,European Commission 2008,27
Austria,2003,High income: OECD,Eurostat,27.4
Austria,2004,High income: OECD,European Commission 2008,26
Austria,2004,High income: OECD,Luxembourg Income Study,26.9
Austria,2004,High income: OECD,OECD StatExtract,26.8
Austria,2004,High income: OECD,Eurostat,25.8
Austria,2004,High income: OECD,OECD StatExtract,45.9
Austria,2005,High income: OECD,OECD StatExtract,26
Austria,2005,High income: OECD,European Commission 2008,26
Austria,2005,High income: OECD,Eurostat,26.2
Austria,2005,High income: OECD,OECD StatExtract,46.4
Austria,2006,High income: OECD,OECD StatExtract,26.6
Austria,2006,High income: OECD,European Commission 2008,25
Austria,2006,High income: OECD,Eurostat,25.3
Austria,2006,High income: OECD,OECD StatExtract,48
Austria,2007,High income: OECD,Eurostat,26.2
Austria,2007,High income: OECD,OECD StatExtract,26.5
Austria,2007,High income: OECD,OECD StatExtract,47.5
Austria,2008,High income: OECD,Eurostat,26.2
Austria,2008,High income: OECD,OECD StatExtract,47.2
Austria,2008,High income: OECD,OECD StatExtract,26.1
Austria,2009,High income: OECD,OECD StatExtract,26.8
Austria,2009,High income: OECD,Eurostat,25.7
Austria,2009,High income: OECD,OECD StatExtract,48.9
Austria,2010,High income: OECD,OECD StatExtract,47.9
Austria,2010,High income: OECD,OECD StatExtract,26.7
Austria,2010,High income: OECD,Eurostat,26.1
Austria,2011,High income: OECD,Eurostat,26.3
Azerbaijan,1972,Upper middle income,Atkinson and Micklewright 1992,27.1
Azerbaijan,1976,Upper middle income,Atkinson and Micklewright 1992,26.1
Azerbaijan,1981,Upper middle income,Atkinson and Micklewright 1992,25.2
Azerbaijan,1986,Upper middle income,Atkinson and Micklewright 1992,26.6
Azerbaijan,1988,Upper middle income,Alexeev and Gaddy 1993,31.7
Azerbaijan,1989,Upper middle income,Atkinson and Micklewright 1992,27.5
Azerbaijan,1989,Upper middle income,Transmonee 2004,30.8
Azerbaijan,1989,Upper middle income,Atkinson and Micklewright 1992,32.8
Azerbaijan,1990,Upper middle income,Alexeev and Gaddy 1993,34.5
Azerbaijan,1992,Upper middle income,Transmonee 2004,36.1
Azerbaijan,1994,Upper middle income,Transmonee 2004,42.8
Azerbaijan,1995,Upper middle income,Transmonee 2004,45.9
Azerbaijan,1996,Upper middle income,Transmonee 2004,45.8
Azerbaijan,1997,Upper middle income,Transmonee 2004,46.2
Azerbaijan,1998,Upper middle income,Transmonee 2004,46.2
Azerbaijan,2000,Upper middle income,Transmonee 2004,30.1
Azerbaijan,2000,Upper middle income,Transmonee 2004,50.6
Azerbaijan,2001,Upper middle income,Transmonee 2004,37.3
Azerbaijan,2001,Upper middle income,"World Bank,36.5
Azerbaijan,2001,Upper middle income,Transmonee 2004,50.1
Azerbaijan,2002,Upper middle income,Transmonee 2004,50.8
Azerbaijan,2008,Upper middle income,WDI,33.7
Bahamas,1970,High income: nonOECD,Jain 1975,48.3
Bahamas,1970,High income: nonOECD,Jain 1975,46.7
Bahamas,1973,High income: nonOECD,Fields 1989,43.5
Bahamas,1973,High income: nonOECD,UN 1981,45.3
Bahamas,1975,High income: nonOECD,UN 1981,54.1
Bahamas,1975,High income: nonOECD,Fields 1989,52.3
Bahamas,1977,High income: nonOECD,UN 1985,50.3
Bahamas,1977,High income: nonOECD,Fields 1989,48.1
Bahamas,1979,High income: nonOECD,UN 1985,43.1
Bahamas,1979,High income: nonOECD,Fields 1989,62.5
Bahamas,1986,High income: nonOECD,Bahamas BDS-LFHIR,48.1
Bahamas,1988,High income: nonOECD,Bahamas BDS-LFHIR,40.6
Bahamas,1989,High income: nonOECD,Bahamas BDS-LFHIR,44.5
Bahamas,1991,High income: nonOECD,Bahamas BDS-LFHIR,41.8
Bahamas,1992,High income: nonOECD,Bahamas BDS-LFHIR,41.9
Bahamas,1993,High income: nonOECD,Bahamas BDS-LFHIR,45.3
Bahamas,2001,High income: nonOECD,Bahamas Department of Statistics,57.5
Bahamas,2003,High income: nonOECD,Bahamas BDS-LFHIR,48
Bahamas,2004,High income: nonOECD,Bahamas BDS-LFHIR,43
Bangladesh,1959,Low income,Statistical Yearbook,37.1
Bangladesh,1960,Low income,Statistical Yearbook,41.8
Bangladesh,1961,Low income,Statistical Yearbook,45
Bangladesh,1963,Low income,Jain 1975,50.2
Bangladesh,1963,Low income,Jain 1975,35.1
Bangladesh,1963,Low income,Jain 1975,37.3
Bangladesh,1963,Low income,Statistical Yearbook,41
Bangladesh,1963,Low income,Statistical Yearbook,36
Bangladesh,1963,Low income,Statistical Yearbook,33
Bangladesh,1965,Low income,Statistical Yearbook,44.9
Bangladesh,1966,Low income,Dowling and Soo 1983,34.3
Bangladesh,1966,Low income,Statistical Yearbook,49.7
Bangladesh,1967,Low income,Statistical Yearbook,43.6
Bangladesh,1967,Low income,Jain 1975,34.2
Bangladesh,1967,Low income,Jain 1975,33.4
Bangladesh,1967,Low income,Jain 1975,25.4
Bangladesh,1967,Low income,Jain 1975,16.4
Bangladesh,1967,Low income,Jain 1975,17.3
Bangladesh,1967,Low income,Jain 1975,39.9
Bangladesh,1969,Low income,Statistical Yearbook,42.4
Bangladesh,1969,Low income,Fields 1989,29
Bangladesh,1973,Low income,Fields 1989,36
Bangladesh,1973,Low income,van Ginneken 1982,28
Bangladesh,1973,Low income,van Ginneken 1982,28
Bangladesh,1973,Low income,van Ginneken 1982,31
Bangladesh,1973,Low income,Statistical Yearbook,39.2
Bangladesh,1973,Low income,Statistical Yearbook,36
Bangladesh,1977,Low income,Statistical Yearbook,36.6
Bangladesh,1977,Low income,Fields 1989,45
Bangladesh,1978,Low income,Statistical Yearbook,35.2
Bangladesh,1981,Low income,Statistical Yearbook,39
Bangladesh,1981,Low income,Fields 1989,39
Bangladesh,1981,Low income,Statistical Yearbook,37.1
Bangladesh,1983,Low income,World Bank Poverty Monitoring Database 2002,25.9
Bangladesh,1983,Low income,"Deininger & Squire,32.7
Bangladesh,1983,Low income,Statistical Yearbook,36
Bangladesh,1984,Low income,WDI,25.9
Bangladesh,1986,Low income,"Deininger & Squire,25.9
Bangladesh,1986,Low income,"Deininger & Squire,30.7
Bangladesh,1986,Low income,Statistical Yearbook,33.9
Bangladesh,1986,Low income,World Bank Poverty Monitoring Database 2002,26.9
Bangladesh,1986,Low income,Statistical Yearbook,37
Bangladesh,1988,Low income,World Bank Poverty Monitoring Database 2002,28.9
Bangladesh,1988,Low income,"Deininger & Squire,30.3
Bangladesh,1988,Low income,"Deininger & Squire,26.1
Bangladesh,1989,Low income,Khan 1997,38
Bangladesh,1992,Low income,Khan 1997,37
Bangladesh,1992,Low income,World Bank Poverty Monitoring Database 2002,28.3
Bangladesh,1996,Low income,"Deininger & Squire,38.7
Bangladesh,1996,Low income,"Deininger & Squire,36
Bangladesh,1996,Low income,Khan 1997,43
Bangladesh,1996,Low income,World Bank Poverty Monitoring Database 2002,33.6
Bangladesh,2000,Low income,"World Bank,31.8
Bangladesh,2000,Low income,WDI,33.5
Bangladesh,2005,Low income,Bangladesh Income and Expenditure Survey,46.7
Bangladesh,2005,Low income,Asian Development Bank 2007,34.1
Bangladesh,2005,Low income,"World Bank,33.2
Bangladesh,2005,Low income,Bangladesh Income and Expenditure Survey,49.7
